"","titles","date","time","url","news_content"
"1","证监会谈康美药业案：巨额民事赔偿让“首恶”承担应有责任","2021-11-12","18:32","https://www.thepaper.cn/newsDetail_forward_15351023","证监会有关部门负责人就康美药业特别代表人诉讼案作出判决答记者问。1、问：近日，广州中院对康美药业特别代表人诉讼案依法作出一审判决。作为监管机构，如何看待这次诉讼结果？答：康美药业证券纠纷案是我国首单特别代表人诉讼案件。康美药业公司连续3年财务造假，涉案金额巨大，持续时间长，性质特别严重，社会影响恶劣，严重损害了投资者的合法权益。作为投资者保护机构中证中小投资者服务中心响应市场呼声，依法接受投资者委托，作为代表人参加康美药业代表人诉讼，为投资者争取最大权益。此次法院依法作出一审判决，示范意义重大，是落实新《证券法》和中办、国办《关于依法从严打击证券违法活动的意见》的有力举措，也是资本市场史上具有开创意义的标志性案件,对促进我国资本市场深化改革和健康发展，切实维护投资者合法权益具有里程碑意义。证监会对此表示支持，并将依法监督投资者保护机构，配合人民法院做好后续相关工作。下一步，证监会将在全面总结首单案件经验的基础上，推动完善代表人诉讼制度机制，支持投资者保护机构进一步优化案件评估、决策、实施流程，依法推进特别代表人诉讼常态化开展。2、问：此次康美药业案如何实现“惩首恶”的目标？答：相关各方坚决贯彻落实党中央国务院对资本市场违法犯罪行为“零容忍”的精神和要求，通过多种手段并举，构建了民事、行政、刑事立体化的责任追究体系，让康美药业案幕后实际操纵上市公司的为恶者付出沉重代价，实现了“惩首恶”的目标，有利于强化惩恶扬善、扶优限劣的鲜明导向，不断增强市场各方的敬畏之心，共同营造良好市场生态。一是巨额民事赔偿让“首恶”承担应有责任。此次康美药业特别代表人诉讼，法院综合考虑案件基本事实、相关被告在虚假陈述行为中的主观过错等因素，判决马兴田夫妇及邱锡伟等4名原高管人员组织策划实施财务造假，属故意行为，依法承担100%的连带赔偿责任（24.59亿元），有利于强化对资本市场违法作恶者的惩罚和震慑。二是上市公司积极追收原大股东、实际控制人占款。在广东省及各方的协调努力下，10月30日，康美药业公告披露，经揭阳中院对公司控股股东关联方资产进行强制执行，所得款项共计16.41亿元已支付至公司管理人账户，用于冲抵关联方占用公司资金。通过追收原大股东、实际控制人占用资金，有利于更好地保护广大中小投资者的合法权益，也让上市公司重新轻装上阵。三是司法机关同步追究原大股东、实际控制人刑事责任。经侦查终结，佛山市检察院已于10月27日向佛山中院提起公诉，指控马兴田犯相关刑事证券犯罪。佛山中院于当日立案受理相关案件，并与前期受理的康美药业、马兴田单位行贿案合并审理，切实追究相关行为人的刑事责任。3、什么是中国特色的集团诉讼或特别代表人诉讼，与普通代表人诉讼有什么区别？答：按照新《证券法》以及《最高人民法院关于证券纠纷代表人诉讼若干问题的规定》（法释〔2020〕5号）的相关规定，人民法院启动普通代表人诉讼，发布权利登记公告，投资者保护机构在公告期间受50名以上投资者的特别授权，可以依法作为代表人参加特别代表人诉讼。其与普通代表人诉讼的区别为：一是诉讼代表人不同。普通代表人诉讼的代表人是投资者，特别代表人诉讼的代表人是投资者保护机构。二是诉讼加入原则不同。相较普通代表人诉讼的“明示加入”，特别代表人诉讼是“默示加入”，能够扩大投资者保护的范围，更好发挥对违法行为的震慑作用。三是诉讼效果不同。相较普通代表人诉讼，特别代表人诉讼能够一次性解决纠纷，但也意味着相关责任人短期内面临巨额赔偿，增大了破产风险，增加获得赔偿的不确定性。两种诉讼方式各有优劣，无论哪种方式都是落实新《证券法》保护投资者、威慑违法行为人的重要举措。在具体个案中采用哪种诉讼方式更有利，需要结合个案情况具体分析。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)
            "
"2","“世维会”在捷克从事反华分裂活动，中使馆：强烈谴责","2021-11-12","19:14","https://www.thepaper.cn/newsDetail_forward_15351054","驻捷克使馆发言人就“世维会”在捷克从事反华分裂活动答记者问。问：“世维会”将于11月12日至14日在捷克举行有关国际会议和代表大会，捷克个别机构和人士将应邀出席。请问中方对此有何评论？答：中方注意到有关报道，对“世维会”在捷克从事反华分裂活动予以强烈谴责，对捷克个别机构和政客借机干涉中国内政表示坚决反对。“世维会”是彻头彻尾的反华分裂组织，长期炮制涉疆谣言谎言，散播宗教极端思想，煽动暴恐分裂活动。“世维会”头目多力坤·艾沙是中国政府认定的恐怖分子，涉嫌在中国境内组织实施系列暴力恐怖案件和严重刑事犯罪案件。多力坤等近年来企图把自己包装成所谓“受害者”角色，但他们作为恐怖分子的本质无法“漂白”，犯下的罪行必将受到法律严惩。涉疆问题根本不是什么民族、宗教、人权问题，而是反暴恐、反分裂、去极端化问题。所谓新疆“种族灭绝”“文化灭绝”“强迫劳动”等说法是彻彻底底的谎言，是无视事实、别有企图的政治把戏。中国治疆政策和新疆发展成就不容诬蔑。目前新疆社会稳定，已连续4年多未发生暴恐案件，经济快速发展，民生大幅改善，2020年新疆GDP突破1.3万亿元人民币（约合4.3万亿捷克克朗），人均可支配收入达23845元人民币（约合78689捷克克朗），现行标准下306.49万农村贫困人口已全部脱贫。根据2020年第七次全国人口普查数据，新疆维吾尔族人口从2010年的1000.13万人增长至2020年的1162.43万，增长16.23%。新疆依法开展国家通用语言文字教学，同时充分保障少数民族学生学习本民族语言文字的权利，有效促进少数民族语言文化的传承发展。中方敦促捷克少数人认清“世维会”反华分裂本质，恪守国际法和国际关系基本准则，不为“世维会”反华分裂活动站台，切实为中捷关系健康稳定发展创造条件。中方欢迎包括捷克在内的世界各国人士到新疆参观访问，感受真实的新疆。中方愿同世界各国一道，携手应对恐怖主义威胁，共同维护世界和平与稳定。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)
            "
"3","抖音称收到腾讯创作服务平台接入申请，腾讯方面称还在确认","2021-11-12","19:19","https://www.thepaper.cn/newsDetail_forward_15351106","11月12日，抖音在今日头条官方账号发表了题为“关于腾讯与抖音商谈对等开放的说明”文章称，其收到腾讯创作服务平台的希望接入抖音开放平台的邮件申请。抖音表示腾讯此举响应工信部关于互联互通的要求，而此前抖音多次申请微信开放平台恢复抖音和西瓜视频的分享、登录，以实现信息分享。目前抖音已回复邮件，双方产品技术人员将推进相关细节。抖音文章称，11月11日，抖音收到来自腾讯创作服务平台的申请，希望接入抖音开放平台。腾讯方面称，有大量全网热门的影视综独家版权作品的二创短视频可以外发到抖音，补充抖音内容生态。抖音展示的腾讯邮件截图显示，腾讯邮件的主要内容为，“腾讯创作服务平台有大量全网热门影视综的独家版权作品的二创短视频可外发到抖音，补充抖音内容生态，现希望能接入抖音开放平台，但公司企业法人身份证信息不对外，故在开放平台的注册环节遇到了卡点，希望相关同事看下是否有其他的方案能达成本次内容合作。”邮件附有腾讯方人员的联系人方式，其平台介绍、平台地址、测试账号等信息。抖音回应称，“腾讯这一举措响应了工信部关于互联互通的要求，我们非常高兴腾讯版权内容在抖音上分享，这将有助于同时改善腾讯和抖音双方用户的体验。此前，我们也多次申请微信开放平台恢复抖音和西瓜视频的分享、登录功能，以便双方用户更顺畅地实现信息分享。针对腾讯此次的申请，我们已经回复邮件，双方产品技术人员将尽快推进相关细节。”对此，澎湃新闻（www.thepaper.cn）联系腾讯方面核实该邮件的真实性，相关负责人表示，目前还在确认。今年7月，工信部启动互联网行业专项整治行动，整治重点之一便是“屏蔽网址链接”。监管部门明确表示，“保障合法的网址链接能被正常访问，是互联网发展的基本要求。无正当理由限制网址链接的识别、解析、正常访问，影响了用户体验，也损害了用户权益，扰乱了市场秩序。”9月13日，在国新办“推进制造强国网络强国建设 助力全面建成小康社会”新闻发布会上，工业和信息化部信息通信管理局局长赵志国表示，在企业的自查整改中，“我们了解到，部分互联网企业对屏蔽网址链接问题的认识与专项行动要求还有一定的差距。”(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)
            "
"4","【社论】以史为鉴、开创未来，埋头苦干、勇毅前行","2021-11-12","18:06","https://www.thepaper.cn/newsDetail_forward_15350069","在建党百年的重大历史关头，党中央召开十九届六中全会。全会最重要的成果是审议通过了《中共中央关于党的百年奋斗重大成就和历史经验的决议》（简称《决议》）。全会强调“两个确立”，对新时代党和国家事业发展、对推进中华民族伟大复兴历史进程具有决定性意义；对习近平新时代中国特色社会主义思想的概括和阐述，是《决议》的突出亮点和重大贡献；《决议》以“十个坚持”总结了党百年奋斗的宝贵历史经验。《决议》是我们党的历史上第三个历史决议，是一篇马克思主义的纲领性文献；是新时代中国共产党人牢记初心使命、坚持和发展中国特色社会主义的政治宣言；是以史为鉴、开创未来、实现中华民族伟大复兴的行动指南。百年征程，波澜壮阔；风雷激荡，铸就伟业。在“党和国家事业大大向前发展了，党的理论和实践也大大向前发展了”的宏阔背景中，《决议》的问世，有利于全党全国各族人民进一步统一思想、统一意志、统一行动，从而坚定步调一致向前走的决心，奋力建功新时代的信心。从石库门到天安门，从兴业路到复兴路，我们党的百年历程有太多经验可总结。都有哪些经验要总结？我们党在百年历程中取得的应对变局、把握大局、开创新局的历史经验，取得的探索我国革命道路、建设道路、改革道路的历史经验，取得的团结带领人民推进民族复兴的历史经验，取得的敢于斗争、善于斗争的历史经验，取得的自我革命的历史经验。敢于总结是清醒，善于总结是自信。通过总结党百年奋斗的宝贵历史经验，我们深知，中国人民不但善于破坏一个旧世界、也善于建设一个新世界，只有社会主义才能救中国，只有社会主义才能发展中国。实现中华民族伟大复兴，必须有领导中国人民前进的坚强力量，这个坚强力量就是中国共产党。通过总结党百年奋斗的宝贵历史经验，我们深知，改革开放是决定当代中国前途命运的关键一招，中国特色社会主义道路是指引中国发展繁荣的正确道路，中国大踏步赶上了时代，并正在引领时代、塑造时代。找准方向，找对方法，我们党就能继续成功。过去一百年，党向人民、向历史交出了一份优异的答卷。现在，我们党团结带领中国人民又踏上了实现第二个百年奋斗目标新的赶考之路。牢记中国共产党是什么、要干什么这个根本问题，把握历史发展大势，坚定理想信念，牢记初心使命，才能行稳致远；常怀远虑、居安思危，谦虚谨慎、不骄不躁，才能穿越迷雾，看得清更遥远的未来。第二个百年奋斗征程，是历史大格局，也与我们每一个人的未来幸福息息相关。中华民族的伟大复兴，要落实在具体的个人的奋斗当中。知史以明理，知史以增信，让历史告诉现实，让现实宣告未来，我们走在了正确的道路上。胸怀千秋伟业，恰是百年风华。走过千山万水，仍需跋山涉水，勿忘昨天的苦难辉煌，无愧今天的使命担当，不负明天的伟大梦想，以史为鉴、开创未来，埋头苦干、勇毅前行，必能在新时代新征程上赢得更加伟大的胜利和荣光。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)
            "
"5","瞰见｜雪后天山","随着天气逐渐转冷，新疆玛纳斯县南部山区迎来降温降雪天气，雪后的天山银装素裹，美景如画，在阳光照耀下，皑皑白雪与晶莹剔透的雾凇、若隐若现的云海相互映衬。",NA,"https://www.thepaper.cn/newsDetail_forward_15350677","
                    随着天气逐渐转冷，新疆玛纳斯县南部山区迎来降温降雪天气，雪后的天山银装素裹，美景如画，在阳光照耀下，皑皑白雪与晶莹剔透的雾凇、若隐若现的云海相互映衬。"
"6","纪念台盟成立74周年暨谢雪红同志诞辰120周年座谈会举行","2021-11-12","20:13","https://www.thepaper.cn/newsDetail_forward_15351208","纪念台盟成立74周年暨纪念谢雪红同志诞辰120周年座谈会11月12日在京举行。全国政协副主席、台盟中央主席苏辉出席并讲话。谢雪红1901年出生于台湾，1925年加入中国共产党。1947年11月，台湾民主自治同盟在香港成立，谢雪红担任主席。苏辉指出，谢雪红同志的一生，是经受革命斗争锻炼和考验的一生，是为共产主义理想、为多党合作事业、为祖国统一大业奋斗不息的一生。纪念谢雪红同志，就是要学习她顽强不屈，勇于革命的斗争精神，始终挺起精神脊梁，永远保持奋斗精神、革命精神，为早日实现祖国完全统一而不懈奋斗。座谈会由台盟中央常务副主席李钺锋主持。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)
            "
"7","谢霆锋悬空转呼啦圈刷屏，医生紧急提醒：容易造成椎间盘突出",NA,NA,"https://www.thepaper.cn/newsDetail_forward_15351158","
                    近日多个社交平台掀起了“悬空转呼啦圈”的热潮11日话题#谢霆锋悬空呼啦圈#冲上热搜男艺人谢霆锋在个人账号上传了一段相关视频视频中他只用双脚做支撑在空中旋转呼啦圈而且边转还边玩手机目前，悬空呼啦圈挑战赛引来大量博主参与单条视频点赞超80w话题播放1.2亿更有网友号召“跟风”↓↓↓但上海长海医院脊柱外科主任白玉树表示：视频中的动作，需要很大的力来平衡身体重量。每个脊椎的椎间关节压力会非常大，那么从脊柱外科的角度来讲，容易造成椎间盘突出。在这么大的压力负荷下，进行旋转或者摇摆，容易造成损伤脱位。此前社交平台还有过“漫画腰”挑战参与者模仿漫画中的动作腿放在椅子上上半身趴在地这动作对腰部的考验极高需要向后折叠近90度结局却是被打脸......玩归玩，闹归闹别拿身体开玩笑本文转载自微信公众号『中国青年报』，来源：中国青年报综合中青报此前报道、@看看新闻KNEWS、网友评论等原标题：《谢霆锋悬空转呼啦圈刷屏，网友号召“跟风”？医生紧急提醒......》阅读原文"
"8","英国研究者用纤维素制成无毒可降解闪光剂，可用于化妆品","2021-11-12","20:10","https://www.thepaper.cn/newsDetail_forward_15350999","亮闪闪的化妆品、饮料、油漆、标签和包装的闪光剂一般由有毒、不可持续的材料制成，并导致塑料污染。最近，英国剑桥大学的研究者提出一种制造闪光剂的新方法——用植物、水果、蔬菜和木浆中的纤维素制造闪光剂。这种闪光剂是可持续、无毒、可生物降解的。此外，这种生产的能源密集度比传统方法低。相关论文于当地时间11月11日发表在国际知名学术期刊《自然-材料》上，标题为“Large-scale fabrication of structurally coloured cellulose nanocrystal films and effect pigments”。该论文通讯作者 Silvia Vignolini 教授表示：“传统颜料，就像你日常的闪光材料，不是可持续地生产的。”“它们进入土壤、海洋并导致整体的污染。消费者开始意识到，闪光剂虽然很有趣，但会对环境造成真正的危害。”如今，科学家们正在大力寻找更可持续的方法来生产效果颜料和功能性纳米材料，来代替这些对环境成分。这项研究的闪光剂由纤维素纳米晶体(CNC)制成，它可以通过“结构色”过程来弯曲光线，从而展示出鲜艳的色彩。同样的现象产生了自然界中一些最亮的颜色——如蝴蝶翅膀和孔雀羽毛的颜色，这种色彩即便经过一个世纪也不会褪色。纤维素纳米晶体是纤维素的衍生物，它作为可再生的植物胶体颗粒，能够通过溶剂蒸发驱动的自组装形成光子薄膜。其自组装成结构有色薄膜引起了科学界及其他领域的极大兴趣，成为生产更可持续颜料的潜在候选者。研究人员表示，他们的材料可用于替代化妆品中广泛使用的塑料闪光颗粒和微小的矿物效果颜料。在欧洲，化妆品行业每年使用约5500吨微塑料。目前，人们已经对调节纤维素纳米晶体自组装的关键过程较为理解，现在也有几家公司大量供应纳米纤维素。不过，商业开发现在还有瓶颈——仅在小规模上进行了研究，忽略了在工业环境中开发这种可持续材料所需的连续沉积过程所带来的限制和挑战。此项工作中，研究者首次展示了一种工业化大规模制造的路线：在商业卷对卷涂层装置上浇铸纤维素纳米晶体悬浮液，该悬浮液会沉积下来，随后经历干燥、分层，从而产生大尺寸的薄膜。研究者可优化自组装过程的涂层参数，制造在整个可见光范围内可调颜色的薄膜。在生产出大规模的纤维素薄膜后，研究人员将其进行热处理、研磨和尺寸分选，以产生结构上有色的颗粒，所得颗粒可以用作闪光剂或效果颜料。这种颗粒可生物降解、不含塑料、不会因水褪色，应用广泛。而且，这种闪光颗粒非常安全，甚至可以食用。此外，该过程的能源密集程度远低于传统方法。闪光剂应用不使用合成聚合物时，公司经常使用云母和二氧化钛组合成效果颜料。然而，由于后者潜在的致癌作用，二氧化钛最近在欧盟被禁止用于食品应用，而云母的提取通常发生在可能依赖剥削行为（包括童工）的发展中国家。“传统上，效果颜料矿物必须在高达 800°C 的温度下加热才能形成颜料颗粒。考虑到全球生产的矿物效果颜料的数量，你会意识到它们的使用对地球有害。”论文第一作者、博士生Benjamin Droguet表示。Vignolini表示，“我们相信，该产品可以通过提供完全可持续、可生物降解的纯素颜料和闪光剂来彻底改变化妆品行业。”尽管该过程仍需要进一步优化，但研究人员希望成立一家公司，在未来几年把这种颜料和闪光剂推向市场。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)
            "
"9","央视评论：推动中国特色社会主义事业航船劈波斩浪一往无前","2021-11-12","20:10","https://www.thepaper.cn/newsDetail_forward_15351245","刚刚闭幕的党的十九届六中全会强调：“全党要坚持唯物史观和正确党史观，从党的百年奋斗中看清楚过去我们为什么能够成功、弄明白未来我们怎样才能继续成功，从而更加坚定、更加自觉地践行初心使命，在新时代更好坚持和发展中国特色社会主义。”十九届六中全会在总揽党的百年奋斗历史基础上，对“四个历史时期”尤其是中国特色社会主义进入新时代这个阶段进行了系统总结，再次明确了中国特色社会主义新时代是我国发展新的历史方位，在党的十九大基础上进一步对习近平新时代中国特色社会主义思想进行了深刻阐述，对引导全党进一步坚定道路自信，保持战略定力，以更加昂扬的姿态迈进新征程、建功新时代具有极为重要的意义。百年峥嵘，百年奋斗。此次《决议》全面梳理总结了我们党百年来不同历史时期的主要任务、伟大成就和宝贵经验，从“苦难辉煌”，到“使命担当”，再到“伟大梦想”，党领导人民探索社会主义道路的脚步始终坚定向前，中华民族也迎来了从站起来、富起来到强起来的伟大飞跃。使命在肩，永不止步。党的十八大以来，习近平总书记就新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义，建设什么样的社会主义现代化强国、怎样建设社会主义现代化强国，建设什么样的长期执政的马克思主义政党、怎样建设长期执政的马克思主义政党等重大时代课题，进行了深邃思考和科学判断，提出一系列原创性的治国理政新理念新思想新战略，是习近平新时代中国特色社会主义思想的主要创立者。习近平新时代中国特色社会主义思想是当代中国马克思主义、二十一世纪马克思主义，是中华文化和中国精神的时代精华，实现了马克思主义中国化新的飞跃。我们要深刻理解、全面把握这一重大论断，充分认识新时代在中华民族伟大复兴历史进程中的标识性意义，充分认识习近平新时代中国特色社会主义思想的原创性贡献、历史性贡献、世界性贡献。全会从十三个方面对党的十八大以来党治国理政的重大方略、重大工作、重大举措进行了系统阐述，全面反映了新时代党和国家事业的历史性成就和历史性变革。这是在习近平新时代中国特色社会主义思想指引下，以习近平同志为核心的党中央团结带领全国各族人民共同奋斗的结果。沧海横流有砥柱，万山磅礴看主峰。全会进一步阐明，党确立习近平同志党中央的核心、全党的核心地位，确立习近平新时代中国特色社会主义思想的指导地位，反映了全党全军全国各族人民共同心愿，对新时代党和国家事业发展、对推进中华民族伟大复兴历史进程具有决定性意义。党的十八大以来的实践更是充分证明，习近平总书记无愧为党中央和全党的核心、人民的领袖、时代的领路人；习近平新时代中国特色社会主义思想是全党全国人民的思想旗帜、精神旗帜。历史长河滚滚向前，时代号角催人奋进。在实现第二个百年奋斗目标新的赶考之路上，我们要胸怀“国之大者”，全面贯彻落实习近平新时代中国特色社会主义思想，增强忠诚核心、拥戴核心、维护核心的政治自觉，始终在思想上政治上行动上同以习近平同志为核心的党中央保持高度一致，坚定不移走中国特色社会主义这条唯一正确的道路，推动中国特色社会主义事业航船劈波斩浪、一往无前！(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)
            "
"10","视频丨第一视角从太空看中国智造机械臂","2021-11-12","20:09","https://www.thepaper.cn/newsDetail_forward_15351189","每当熟悉的航天专用BGM又响起，别说话，让我们近距离欣赏这奇巧的机械臂。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)
            "
